,year,race_and_ethnic,population,share
88,2013,American Indian & Alaska Native Alone (Non-Hispanic),17182,0.0020440558150247
89,2013,American Indian & Alaska Native Alone (Hispanic),13198,0.0015700994439935
90,2013,Asian Alone (Non-Hispanic),1123779,0.1336903154320028
91,2013,Asian Alone (Hispanic),9263,0.0011019723556381
92,2013,Native Hawaiian & Other Pacific Islander Alone (Non-Hispanic),3824,0.0004549219786203
93,2013,Native Hawaiian & Other Pacific Islander Alone (Hispanic),2084,0.0002479229611518
94,2013,Some Other Race Alone (Non-Hispanic),76151,0.0090593001030117
95,2013,Some Other Race Alone (Hispanic),1173082,0.1395556444884667
96,2013,Two or More Races (Non-Hispanic),134471,0.015997336136782
97,2013,Two or More Races (Hispanic),122770,0.014605327226783
